Categoria;ID_Subcategoria;ID_Modelo;Cor;UF;ID_Cidade;ID_Regiao;Quantidade Vendida;Total Venda;Data Venda
Bicicletas;1.0;1.0;Prata;PB;1.0;1.0;2;6799.98;01/07/2017
Bicicletas;2.0;2.0;Vermelho;PB;1.0;1.0;2;7156.54;01/10/2017
Bicicletas;2.0;3.0;Preto;RN;19.0;1.0;1;3578.27;01/12/2017
Bicicletas;2.0;2.0;Vermelho;MG;2.0;2.0;1;3578.27;01/07/2017
Bicicletas;1.0;1.0;Prata;SP;20.0;2.0;1;3578.27;01/07/2017
Bicicletas;2.0;2.0;Vermelho;AL;3.0;1.0;1;3399.99;01/07/2017
Bicicletas;1.0;1.0;Preto;CE;4.0;1.0;1;3374.99;01/07/2017
Bicicletas;2.0;2.0;Vermelho;RN;5.0;1.0;1;3399.99;01/08/2017
Bicicletas;2.0;2.0;Vermelho;SP;8.0;2.0;1;3578.27;01/09/2017
Bicicletas;2.0;2.0;Vermelho;MG;6.0;2.0;1;3578.27;01/08/2017
Bicicletas;1.0;1.0;Preto;RO;7.0;3.0;1;3578.27;01/07/2017
Bicicletas;1.0;1.0;Prata;MG;17.0;2.0;1;3399.99;01/07/2017
Bicicletas;1.0;1.0;Preto;MG;70.0;2.0;1;3578.27;01/08/2017
Bicicletas;2.0;3.0;Vermelho;SP;9.0;2.0;1;3374.99;01/09/2017
Bicicletas;2.0;2.0;Vermelho;MT;10.0;4.0;1;3578.27;01/11/2017
Bicicletas;2.0;2.0;Vermelho;MG;11.0;2.0;1;3578.27;01/11/2017
Bicicletas;1.0;1.0;Prata;GO;12.0;4.0;1;3578.27;01/07/2017
Bicicletas;1.0;1.0;Prata;RJ;13.0;2.0;1;3578.27;01/07/2017
Bicicletas;2.0;2.0;Vermelho;AL;22.0;1.0;1;3578.27;01/07/2017
Bicicletas;1.0;1.0;Prata;MT;14.0;4.0;1;3578.27;01/07/2017
Bicicletas;1.0;1.0;Preto;RN;15.0;1.0;1;3578.27;01/12/2017
Bicicletas;2.0;2.0;Vermelho;PE;16.0;1.0;1;3578.27;01/12/2017
Bicicletas;2.0;3.0;Vermelho;PI;18.0;3.0;1;3578.27;01/12/2017
Bicicletas;2.0;2.0;Vermelho;TO;21.0;3.0;1;3578.27;01/07/2017
Bicicletas;1.0;1.0;Preto;TO;21.0;3.0;1;3578.27;01/10/2017
Bicicletas;1.0;1.0;Preto;RJ;66.0;2.0;1;782.99;01/08/2017
Bicicletas;2.0;2.0;Vermelho;MT;24.0;4.0;2;7156.54;01/07/2017
Bicicletas;2.0;2.0;Vermelho;AL;27.0;1.0;1;782.99;01/07/2017
Bicicletas;2.0;2.0;Vermelho;PR;29.0;5.0;1;3374.99;01/07/2017
Bicicletas;2.0;2.0;Vermelho;SP;32.0;2.0;1;3374.99;01/07/2017
Bicicletas;2.0;2.0;Vermelho;PE;33.0;1.0;1;3374.99;01/07/2017
Bicicletas;2.0;2.0;Vermelho;MA;36.0;1.0;1;2443.35;01/07/2017
Bicicletas;2.0;2.0;Vermelho;TO;37.0;3.0;1;2443.35;01/07/2017
Bicicletas;1.0;1.0;Preto;TO;37.0;3.0;1;3399.99;01/10/2017
Bicicletas;2.0;2.0;Vermelho;SP;38.0;2.0;1;2443.35;01/07/2017
Bicicletas;2.0;2.0;Vermelho;SP;38.0;2.0;1;782.99;01/11/2017
Bicicletas;2.0;2.0;Vermelho;MG;39.0;2.0;1;3399.99;01/07/2017
Bicicletas;2.0;2.0;Vermelho;MG;40.0;2.0;1;3399.99;01/07/2017
Bicicletas;2.0;2.0;Vermelho;MG;45.0;2.0;1;3399.99;01/07/2017
Bicicletas;2.0;2.0;Vermelho;MG;48.0;2.0;1;3578.27;01/07/2017
Bicicletas;2.0;2.0;Vermelho;MT;49.0;4.0;1;3578.27;01/07/2017
Bicicletas;2.0;2.0;Vermelho;MT;49.0;4.0;1;3578.27;01/08/2017
Bicicletas;2.0;2.0;Vermelho;PI;52.0;3.0;1;3578.27;01/07/2017
Bicicletas;2.0;2.0;Vermelho;GO;54.0;4.0;1;3578.27;01/07/2017
Bicicletas;2.0;2.0;Vermelho;MG;56.0;2.0;1;120.0;01/07/2017
Bicicletas;2.0;2.0;Vermelho;PB;62.0;1.0;1;3578.27;01/08/2017
Bicicletas;1.0;1.0;Preto;MA;51.0;1.0;1;3.99;01/11/2017
Bicicletas;2.0;3.0;Vermelho;SP;59.0;2.0;1;1700.99;01/07/2017
Bicicletas;2.0;2.0;Vermelho;SP;55.0;2.0;3;23.85;01/08/2017
Bicicletas;1.0;1.0;Preto;SP;73.0;2.0;1;3578.27;01/08/2017
Bicicletas;2.0;2.0;Vermelho;RS;74.0;5.0;1;35.0;01/10/2017
Bicicletas;1.0;1.0;Prata;RS;78.0;5.0;1;2384.07;01/08/2017
Bicicletas;1.0;1.0;Prata;MG;79.0;2.0;1;1214.85;01/08/2017
