Categoria;ID_Subcategoria;ID_Modelo;Cor;UF;ID_Cidade;ID_Regiao;Quantidade Vendida;Total Venda;Data Venda
Bicicletas;1.0;1.0;Preto;PB;19.0;1.0;1;3374.99;01/01/2018
Bicicletas;1.0;4.0;Preto;SP;20.0;2.0;1;3578.27;01/12/2018
Bicicletas;1.0;1.0;Prata;SP;31.0;2.0;1;3399.99;01/05/2018
Bicicletas;1.0;1.0;Preto;SP;35.0;2.0;1;3399.99;01/06/2018
Bicicletas;2.0;5.0;Preto;MG;70.0;2.0;1;3578.27;01/12/2018
Bicicletas;1.0;1.0;Preto;SC;30.0;5.0;1;3578.27;01/05/2018
Bicicletas;1.0;1.0;Preto;AM;25.0;3.0;1;2443.35;01/03/2018
Bicicletas;2.0;2.0;Vermelho;PR;23.0;5.0;1;2443.35;01/02/2018
Bicicletas;2.0;2.0;Vermelho;MA;26.0;1.0;1;2443.35;01/03/2018
Bicicletas;1.0;1.0;Preto;PR;41.0;5.0;1;782.99;01/06/2018
Bicicletas;2.0;2.0;Vermelho;MG;28.0;2.0;1;2443.35;01/04/2018
Bicicletas;2.0;2.0;Vermelho;SP;34.0;2.0;1;2443.35;01/05/2018
Bicicletas;2.0;2.0;Vermelho;MG;42.0;2.0;1;2443.35;01/06/2018
Bicicletas;2.0;2.0;Vermelho;RO;43.0;3.0;1;2443.35;01/06/2018
Bicicletas;1.0;4.0;Preto;MS;44.0;4.0;1;3578.27;01/07/2018
Bicicletas;2.0;5.0;Preto;MG;46.0;2.0;1;3578.27;01/07/2018
Bicicletas;2.0;5.0;Vermelho;PI;47.0;3.0;1;3578.27;01/07/2018
Bicicletas;2.0;2.0;Vermelho;MG;56.0;2.0;1;8.99;01/02/2018
Bicicletas;1.0;4.0;Preto;PR;50.0;5.0;1;32.6;01/08/2018
Bicicletas;2.0;5.0;Preto;MA;51.0;1.0;1;2.29;01/08/2018
Bicicletas;2.0;3.0;Vermelho;SC;57.0;5.0;1;3578.27;01/08/2018
Bicicletas;2.0;3.0;Preto;SC;57.0;5.0;1;2294.99;01/05/2018
Bicicletas;2.0;5.0;Vermelho;SC;53.0;5.0;1;2443.35;01/08/2018
Bicicletas;1.0;4.0;Preto;SC;53.0;5.0;1;3578.27;01/10/2018
Bicicletas;2.0;3.0;Preto;GO;60.0;4.0;5;11.45;01/09/2018
Bicicletas;2.0;5.0;Vermelho;SP;55.0;2.0;3;14.97;01/08/2018
Bicicletas;2.0;3.0;Preto;PR;64.0;5.0;2;59.98;01/11/2018
Bicicletas;1.0;4.0;Prata;PR;64.0;5.0;2;7156.54;01/12/2018
Bicicletas;2.0;3.0;Vermelho;PE;65.0;1.0;2;9.98;01/11/2018
Bicicletas;1.0;4.0;Prata;PI;58.0;3.0;1;3399.99;01/09/2018
Bicicletas;1.0;4.0;Prata;RN;67.0;1.0;2;7.98;01/12/2018
Bicicletas;2.0;5.0;Vermelho;PR;61.0;5.0;1;3578.27;01/11/2018
Bicicletas;1.0;4.0;Preto;PR;68.0;5.0;1;3578.27;01/12/2018
Bicicletas;1.0;4.0;Prata;PA;69.0;3.0;1;34.99;01/12/2018
Bicicletas;2.0;6.0;Amarela;MG;63.0;2.0;1;3578.27;01/11/2018
Bicicletas;2.0;5.0;Preto;MT;71.0;4.0;1;3578.27;01/12/2018
Bicicletas;2.0;5.0;Preto;RS;72.0;5.0;1;54.99;01/12/2018
Bicicletas;2.0;2.0;Vermelho;MG;94.0;2.0;1;2294.99;01/06/2018
Bicicletas;1.0;1.0;Prata;SP;112.0;2.0;1;3578.27;01/02/2018
Bicicletas;1.0;4.0;Preto;SP;112.0;2.0;1;2294.99;01/10/2018
Bicicletas;2.0;5.0;Vermelho;PR;122.0;5.0;2;4.58;01/12/2018
Bicicletas;2.0;2.0;Vermelho;AL;128.0;1.0;2;7156.54;01/01/2018
Bicicletas;1.0;4.0;Preto;ES;141.0;2.0;1;3578.27;01/12/2018
Bicicletas;1.0;1.0;Preto;SE;162.0;1.0;1;539.99;01/03/2018
Bicicletas;2.0;2.0;Vermelho;PE;164.0;1.0;1;3374.99;01/03/2018
Bicicletas;1.0;1.0;Preto;GO;180.0;4.0;2;59.98;01/05/2018
Bicicletas;2.0;3.0;Preto;SC;188.0;5.0;1;3578.27;01/07/2018
Bicicletas;2.0;5.0;Vermelho;MG;199.0;2.0;1;34.99;01/10/2018
Bicicletas;2.0;5.0;Preto;AP;214.0;3.0;2;19.98;01/08/2018
Bicicletas;2.0;3.0;Vermelho;CE;220.0;1.0;2;1079.98;01/11/2018
Bicicletas;2.0;5.0;Preto;BA;234.0;1.0;1;24.49;01/10/2018
Bicicletas;2.0;3.0;Vermelho;GO;253.0;4.0;1;3578.27;01/09/2018
Bicicletas;2.0;2.0;Vermelho;TO;275.0;3.0;1;3399.99;01/04/2018
Bicicletas;1.0;4.0;Prata;MG;297.0;2.0;1;3578.27;01/10/2018
Bicicletas;2.0;2.0;Vermelho;MG;306.0;2.0;1;3374.99;01/03/2018
Bicicletas;2.0;2.0;Vermelho;BA;308.0;1.0;1;3374.99;01/04/2018
Bicicletas;2.0;3.0;Vermelho;MG;311.0;2.0;1;3374.99;01/06/2018
Bicicletas;2.0;5.0;Vermelho;MG;332.0;2.0;1;3374.99;01/08/2018
Bicicletas;1.0;1.0;Preto;SP;344.0;2.0;1;1700.99;01/01/2018
Bicicletas;2.0;2.0;Vermelho;MT;357.0;4.0;1;539.99;01/01/2018
Bicicletas;1.0;1.0;Prata;SC;358.0;5.0;3;2186.73;01/06/2018
Bicicletas;2.0;2.0;Vermelho;MA;360.0;1.0;2;69.98;01/01/2018
Bicicletas;1.0;1.0;Preto;SC;362.0;5.0;1;54.99;01/01/2018
Bicicletas;2.0;2.0;Vermelho;SP;362.0;2.0;1;3578.27;01/05/2018
Bicicletas;1.0;1.0;Preto;MG;369.0;2.0;1;1120.49;01/01/2018
Bicicletas;1.0;1.0;Prata;RS;374.0;5.0;1;2384.07;01/01/2018
Bicicletas;2.0;5.0;Preto;SC;375.0;5.0;1;49.99;01/08/2018
Bicicletas;2.0;2.0;Vermelho;MG;376.0;2.0;1;3374.99;01/01/2018
Bicicletas;2.0;2.0;Vermelho;BA;378.0;1.0;2;4.58;01/01/2018
Bicicletas;2.0;2.0;Vermelho;AM;386.0;3.0;1;1120.49;01/01/2018
Bicicletas;2.0;2.0;Vermelho;SP;388.0;2.0;1;3578.27;01/01/2018
Bicicletas;2.0;2.0;Vermelho;SP;388.0;2.0;1;3578.27;01/05/2018
Bicicletas;2.0;2.0;Vermelho;RS;390.0;5.0;2;17.98;01/01/2018
Bicicletas;2.0;2.0;Vermelho;MG;391.0;2.0;1;3578.27;01/01/2018
Bicicletas;2.0;2.0;Vermelho;PR;392.0;5.0;1;7.95;01/01/2018
Bicicletas;2.0;2.0;Vermelho;BA;393.0;1.0;1;3578.27;01/01/2018
Bicicletas;1.0;4.0;Prata;BA;393.0;1.0;1;34.99;01/08/2018
Bicicletas;2.0;2.0;Vermelho;BA;394.0;1.0;1;3578.27;01/01/2018
Bicicletas;2.0;2.0;Vermelho;PE;399.0;1.0;1;2443.35;01/01/2018
Bicicletas;2.0;6.0;Amarela;PE;399.0;1.0;1;1120.49;01/10/2018
Bicicletas;2.0;2.0;Vermelho;RJ;400.0;2.0;1;742.35;01/01/2018
Bicicletas;2.0;2.0;Vermelho;SP;403.0;2.0;1;742.35;01/01/2018
Bicicletas;2.0;2.0;Vermelho;MA;404.0;1.0;1;49.99;01/01/2018
Bicicletas;2.0;2.0;Vermelho;MG;407.0;2.0;1;742.35;01/01/2018
Bicicletas;1.0;4.0;Prata;GO;412.0;4.0;1;34.99;01/10/2018
Bicicletas;2.0;3.0;Preto;BA;413.0;1.0;1;742.35;01/01/2018
Bicicletas;2.0;2.0;Vermelho;SC;418.0;5.0;1;8.99;01/02/2018
Bicicletas;1.0;1.0;Prata;MG;422.0;2.0;1;4.99;01/02/2018
Bicicletas;2.0;2.0;Vermelho;PR;423.0;5.0;1;742.35;01/02/2018
Bicicletas;2.0;5.0;Preto;CE;425.0;1.0;1;2443.35;01/07/2018
Bicicletas;2.0;2.0;Vermelho;RN;427.0;1.0;1;2.29;01/02/2018
Bicicletas;2.0;2.0;Vermelho;MG;430.0;2.0;1;2319.99;01/02/2018
Bicicletas;2.0;2.0;Vermelho;RS;433.0;5.0;1;2384.07;01/02/2018
Bicicletas;2.0;2.0;Vermelho;RS;435.0;5.0;1;2384.07;01/02/2018
Bicicletas;2.0;2.0;Vermelho;RJ;436.0;2.0;1;8.99;01/02/2018
Bicicletas;2.0;2.0;Vermelho;SP;440.0;2.0;1;782.99;01/02/2018
Bicicletas;2.0;2.0;Vermelho;SC;443.0;5.0;1;782.99;01/02/2018
Bicicletas;1.0;1.0;Preto;SC;443.0;5.0;1;29.99;01/06/2018
Bicicletas;2.0;2.0;Vermelho;MA;445.0;1.0;1;782.99;01/02/2018
Bicicletas;2.0;2.0;Vermelho;MG;446.0;2.0;1;28.99;01/02/2018
Bicicletas;2.0;2.0;Vermelho;SP;447.0;2.0;1;4.99;01/02/2018
Bicicletas;2.0;2.0;Vermelho;SC;448.0;5.0;1;2294.99;01/02/2018
Bicicletas;2.0;2.0;Vermelho;PA;449.0;3.0;1;2319.99;01/02/2018
Bicicletas;2.0;2.0;Vermelho;SE;450.0;1.0;1;2319.99;01/02/2018
Bicicletas;2.0;2.0;Vermelho;PR;452.0;5.0;1;2319.99;01/02/2018
Bicicletas;2.0;3.0;Preto;RN;457.0;1.0;1;2319.99;01/02/2018
Bicicletas;2.0;3.0;Vermelho;SP;460.0;2.0;1;2319.99;01/02/2018
